"shoulder.girth","chest.girth","waist.girth","navel.girth","hip.girth","thigh.girth","bicep.girth","forearm.girth","knee.girth","calf.girth","ankle.girth","wrist.girth","weight","height","gender"
"106.2","89.5","71.5","74.5","93.5","51.5","32.5","26","34.5","36.5","23.5","16.5","65.6","174","1"
"110.5","97","79","86.5","94.8","51.5","34.4","28","36.5","37.5","24.5","17","71.8","175.3","1"
"115.1","97.5","83.2","82.9","95","57.3","33.4","28.8","37","37.3","21.9","16.9","80.7","193.5","1"
"104.5","97","77.8","78.8","94","53","31","26.2","37","34.8","23","16.6","72.6","186.5","1"
"107.5","97.5","80","82.5","98.5","55.4","32","28.4","37.7","38.6","24.4","18","78.8","187.2","1"
"119.8","99.9","82.5","80.1","95.3","57.5","33","28","36.6","36.1","23.5","16.9","74.8","181.5","1"
"123.5","106.9","82","84","101","60.9","42.4","32.3","40.1","40.3","23.6","18.8","86.4","184","1"
"120.4","102.5","76.8","80.5","98","56","34.1","28","39.2","36.7","22.5","18","78.4","184.5","1"
"111","91","68.5","69","89.5","50","33","26","35.5","35","22","16.5","62","175","1"
"119.5","93.5","77.5","81.5","99.8","59.8","36.5","29.2","38.3","38.6","22.2","16.9","81.6","184","1"
"117.1","97.7","81.9","81","98.4","60.5","34.6","27.9","38.9","40.1","23.2","16.2","76.6","180","1"
"123.5","99.5","82.6","82.5","95","58.5","38.5","30.4","39","38.4","24.3","18.2","83.6","177.8","1"
"116.5","103","85","94.5","103","59","33.5","29","40.5","40","26","18","90","192","1"
"113","99.6","85.6","89.2","98","59.1","35.6","29","35.8","36","21.5","16.6","74.6","176","1"
"107.5","101.5","78","89.5","95","57","36","29","34.5","35","22","16.5","71","174","1"
"112","104.1","82","84","97","56","34.5","29.5","39","35.7","24","17.5","79.6","184","1"
"112.2","100","88.3","93.5","105","65.8","37","28.8","40.9","41.7","24.2","17.8","93.8","192.7","1"
"120","93.8","73.6","74.9","90.1","54.1","31.2","26.9","36.4","35.6","22","17.1","70","171.5","1"
"109","98.5","78.5","86","94.5","55","34.5","28.5","38","36.5","23","18.5","72.4","173","1"
"118.5","104","87.3","88","101.1","59.5","37","30.5","39.8","42","26.5","18.8","85.9","176","1"
"116","100","92","91","98","57.5","32","27.6","37.5","35.2","21","17.3","78.8","176","1"
"111","100","80","83.7","99.5","57","37","30","37.5","35.5","23","18","77.8","180.5","1"
"117.7","99","74.5","75.9","92.2","53.4","31.2","26.9","36.2","33.3","23.5","16","66.2","172.7","1"
"123.9","101","90.6","89.6","101.2","59.5","37","28.3","35.4","40.6","22.9","17","86.4","176","1"
"120.6","101.6","81.4","81.6","98.8","61.3","39.4","31.9","38.5","41.2","22.8","18.2","81.8","173.5","1"
"129.5","108.8","89.5","89.5","106","59.5","37.5","30.1","39.9","41.5","23.5","19","89.6","178","1"
"115","100","85","94.5","105","62","35.5","28.5","38","40","23.5","16.7","82.8","180.3","1"
"116","88","73.5","77.7","97","56.3","32.5","27.8","39","38.2","23.5","17.8","76.4","180.3","1"
"107.8","88.7","75.8","83","89","52.6","31.2","26.5","37","37.4","21.5","16.5","63.2","164.5","1"
"100.2","84.5","74","81","93.5","50.5","27.5","24.8","34","32.8","21","15.6","60.9","173","1"
"113","93.6","77.5","82.1","95","56.5","32.8","26.2","37.6","36.3","21","16.6","74.8","183.5","1"
"117.9","105","74","72","90","54.2","34.1","28.6","36.2","36.6","22.4","17.2","70","175.5","1"
"112.5","90.9","74","78.8","96.4","51.8","29.8","27","36.4","34.6","22.9","17","72.4","188","1"
"110.5","91.2","82","89.5","100","57.5","32.8","28","40.7","40.1","24.3","17.2","84.1","189.2","1"
"112","98.4","73","83","95.4","56.3","36.4","27.5","37.2","34.5","21.8","16.9","69.1","172.8","1"
"104","85","70.5","84","90","50","29","26","36","34.5","21.5","17","59.5","170","1"
"114.8","97.2","75","77.2","91.3","49.5","31","26.1","36.3","35.1","21","17","67.2","182","1"
"108","91.5","72.1","79.2","91","54.9","29.5","24.5","36.1","37.2","22.9","16","61.3","170","1"
"111.2","91.2","78.8","78","93.2","55.8","31.9","27.4","36.4","35.1","23","16.8","68.6","177.8","1"
"118.3","101.1","77.5","78","97","55","37.7","29.9","38.3","39.6","23.3","18.7","80.1","184.2","1"
"115.2","104.3","91.5","93.2","103.9","62","36.3","29","36.7","39.4","23.1","17.6","87.8","186.7","1"
"129.9","110.8","84.9","83","102.6","66.4","42.3","30.9","37","37.7","22.6","17.5","84.7","171.4","1"
"112.9","96.3","79.1","78.3","97.1","60.1","35.5","28.8","36.9","38.2","23.4","16.7","73.4","172.7","1"
"112.2","102.7","77.9","77.9","90.7","56.7","35.4","28.3","35.6","35.5","22.9","17","72.1","175.3","1"
"117.1","103.9","91.7","89.4","101.8","61","35.7","29.4","37.7","40","22.2","17.9","82.6","180.3","1"
"118.7","105.6","86.6","87.3","103.9","63.2","37.8","29.7","39","40.2","24.3","18.9","88.7","182.9","1"
"109.2","95.8","84.7","84","101.4","60","35","28.5","38.4","37.9","23.2","16.8","84.1","188","1"
"128.1","111.2","90.3","93.5","108.7","66.9","40.2","32.4","39.2","40.1","25.7","17.7","94.1","177.2","1"
"113.3","100","79.7","87.1","98.4","61.1","36.3","28.6","34.5","36.1","21.4","16.3","74.9","172.1","1"
"108.4","91.6","73.1","75.4","86.5","50.6","30.8","26.1","31.7","33.6","20.3","15.8","59.1","167","1"
"118.7","108","79.8","82.5","94.8","58.3","39.8","29.6","34.2","38.1","21.1","16.9","75.6","169.5","1"
"126.3","109.6","81.6","86.5","100.9","61.7","39.5","31.7","38.8","36.5","22.7","17.9","86.2","174","1"
"124.2","105.7","76.8","83.4","98","56.8","37.9","30.9","35.9","38.3","23.4","17.3","75.3","172.7","1"
"126.7","109.1","85.9","90.4","100.9","61.3","40.1","30","36.8","38.6","21.9","16.4","87.1","182.2","1"
"103.3","88.8","73.3","77.9","85.7","46.9","30.5","24.8","31.1","30.5","19","15","55.2","164.1","1"
"101.2","86.1","69.9","67.4","84.1","50.8","31.5","26.6","32.8","36.3","20","15.8","57","163","1"
"104.3","91.3","72.7","83.2","91.4","51.2","27.8","26","34.8","34.7","21.1","15.3","61.4","171.5","1"
"113.2","100.6","82.7","83.5","98","55.8","33.1","28","37.9","39.1","23.2","17.7","76.8","184.2","1"
"121.9","105.5","90.1","89.2","104.5","62.7","36.3","29.6","38.4","42.4","25.3","17.5","86.8","174","1"
"113.1","97.5","82.9","83.6","95.8","52.6","34.5","27","35.2","35.2","21.4","16.5","72.2","174","1"
"108.5","94.4","77.9","79","91.7","57.1","31.2","27.5","36.6","37.5","21.6","16.1","71.6","177","1"
"113.9","99.6","92.5","96.2","103.4","58.5","34.5","28.4","38.4","38","22.4","17.2","84.8","186","1"
"112.6","98.1","77.8","77.2","90","52.4","33.2","26.4","34.2","36","21.8","17.5","68.2","167","1"
"110.2","93.6","72.7","77.3","91.7","51.9","32.1","27.4","33.5","33.8","21.1","16.9","66.1","171.8","1"
"108.7","93.4","75","79.2","94","53.8","34.2","27.9","36.1","36.2","22","17.5","72","182","1"
"104","92","76","83","93","54.5","29.5","26","37","34.5","22.8","17.4","64.6","167","1"
"115.2","99.2","82.7","84.2","93","56.6","32.4","27.6","35.8","36.3","21.8","16.7","74.8","177.8","1"
"111.9","97.6","80","85.7","97.4","57.8","33.8","28.6","36.2","37.4","22","17.2","70","164.5","1"
"127","108.8","107.1","107.2","108.3","67","39.6","30.6","40","39.6","24.6","17.7","101.6","192","1"
"111.2","91.9","76.2","78.1","90","52","30.7","25.8","34.8","32.6","21","16.1","63.2","175.5","1"
"122","105.2","90.2","88.6","100.2","60.8","35.7","29.4","39.2","39.1","24.5","17.9","79.1","171.2","1"
"114.5","98.3","89.4","87.4","97.7","54.8","31","26","36.4","35.6","21.6","16.6","78.9","181.6","1"
"109.5","92.5","80.9","78.5","96","59","31.5","26.3","36.1","39","21.2","15.6","67.7","167.4","1"
"110.8","92.5","73.5","76.4","92","53.1","30.6","27.1","36","36","23.8","17.5","66","181.1","1"
"118.8","101.6","70.9","76.7","95.3","56","36","28.6","36","34","22","17","68.2","177","1"
"108","94.6","76.1","78","86.3","52.4","28.6","23.9","34.5","37.9","22.7","15.8","63.9","174.5","1"
"114.3","92.5","81","85.2","92.5","54.7","32.3","26.8","35.8","37.6","21.1","15.8","72","177.5","1"
"105.4","88.2","72","72","85.5","50.2","28.6","24.8","34.9","35.1","20.1","15.4","56.8","170.5","1"
"115","91","76.8","80","94.5","54.6","33.2","28","37.5","35.6","22.1","16.3","74.5","182.4","1"
"119.5","106","86","92","103","60.6","34","29.8","38.8","39.5","23.6","18","90.9","197.1","1"
"130","115","98.5","106.6","116.5","67.8","35.8","27.2","38","41.2","23.3","16","93","180.1","1"
"113.3","100","79","82.5","98.5","62.1","34","28.8","39.6","40.8","25.9","18","80.9","175.5","1"
"113.2","94.7","77.5","80.5","92","54.2","30.9","26.6","36.5","35.8","21.3","16.5","72.7","180.6","1"
"106.9","92.5","75.2","80.2","91.6","49.6","29.2","26.1","36.2","35.7","22.1","16.7","68","184.4","1"
"113.8","96.7","82","82.2","92.7","54.6","32","27.1","35.6","36.4","20.7","16.2","70.9","175.5","1"
"117.3","97.4","79.6","80.8","95","54.2","32.6","27.4","36.5","38","21.6","16.6","72.5","180.6","1"
"124.2","106.7","75.2","77.8","94.5","57.4","36.7","29.9","38.1","36","22.6","17.3","72.5","177","1"
"123","106.2","88.6","88.3","100.5","63.4","36.9","29.4","38.4","38.6","23.1","17.3","83.4","177.1","1"
"117.8","103.6","81.5","83.3","91.8","55","33","27.8","35.4","36.5","21.9","16.4","75.5","181.6","1"
"118.8","98.3","79.9","82.4","87.5","54.4","33.5","27.3","36.8","37.9","22.3","16.6","73","176.5","1"
"112","87.8","73.5","77.5","94.9","53.5","34.3","28.5","36.5","35.2","22","17","70.2","175","1"
"113","99.8","80.3","80.8","93","55.4","33.3","28","36","37.8","20.3","16.5","73.4","174","1"
"116","104.6","81.5","85","92","54.1","33","28","35.1","35.2","21.1","16.3","70.5","165.1","1"
"112.8","86.5","74","76.5","91.3","53.5","30.5","26.1","36.6","38.6","21.2","16","68.9","177","1"
"125","110","104","99","111.7","63.2","37.5","29","41.2","39.3","24.6","18.6","102.3","192","1"
"108.3","93.2","76.2","83.8","92.8","55.2","31.2","26.2","36.8","37.7","22.7","16.2","68.4","176.5","1"
"108.2","90","76.5","77.7","91.2","54.2","33.1","27.2","35.5","35.3","21.5","16.2","65.9","169.4","1"
"113","98.4","81","80.5","96.2","56","32","27.4","37","35.5","24","16.5","75.7","182.1","1"
"115","107.2","88.8","86.8","100","61","34.6","27.9","38","39.4","23.2","17","84.5","179.8","1"
"123","108.3","94","98","108.2","66.8","35.6","27.3","39.5","43","25.3","17.7","87.7","175.3","1"
"120.2","105.7","83.4","86.5","101.1","61.3","34.7","29.4","39.4","41.8","24","17.8","86.4","184.9","1"
"114","88.5","77","79","93","51.7","33.5","27.9","38.4","38.5","22.5","17.5","73.2","177.3","1"
"102.9","79.3","75.4","78","88.6","50","25.6","22.7","33.8","32.5","21.2","14.6","53.9","167.4","1"
"112.5","90.9","80.3","80.8","92.8","53.9","32.5","28","36.5","35","21","16.4","72","178.1","1"
"104.5","90.2","68","67","81.5","49.5","27","23.6","34","34.5","20.9","16","55.5","168.9","1"
"111.3","91.6","80.6","78","91.3","55","30.7","25.3","35.5","34","20.8","16.4","58.4","157.2","1"
"117.2","105.2","88.6","94.7","94.7","58.3","36.9","28.8","40.3","39.7","26.3","18.1","83.2","180.3","1"
"112.8","97","81.1","88.2","93.9","53.5","33.7","28.6","35","37.3","23.1","16.7","72.7","170.2","1"
"104.8","85.3","70.8","84.9","89.4","55.8","28.7","25.5","38.5","34.2","21.3","15.6","64.1","177.8","1"
"117.7","99.6","73.3","82.1","89.3","55.4","36.3","32.5","34.3","34.3","22.3","18.4","72.3","172.7","1"
"107.7","94.3","75.9","79.1","92.6","54.4","33.2","27.9","34.8","35.5","23","16.3","65","165.1","1"
"125.2","111.8","86.2","93.5","96.3","59.1","36.3","28","38.3","34.7","23","16.1","86.4","186.7","1"
"109.1","94.3","75","82.2","88","53.8","36.3","28.9","34.5","33.5","23","17.1","65","165.1","1"
"122.6","106.1","101","99.7","105.5","60.2","38.6","30.3","39.5","39.4","25.6","18.3","88.6","174","1"
"117.3","102","90","92.3","102.3","60","34.6","29.7","38.2","38.3","23.7","18","84.1","175.3","1"
"109.1","94.8","75","79.6","91.6","49.4","30","26.5","31.7","30.2","16.4","16.1","66.8","185.4","1"
"116.7","102.9","75.9","77","93.4","55","35.2","28.7","37","37.7","24.5","17.3","75.5","177.8","1"
"124.9","115.8","96","95.9","103.6","62.2","38.2","30.1","41.2","39.4","25.1","17.7","93.2","180.3","1"
"118.6","105.4","84","90.4","94.8","57.6","38.7","30.2","38.6","38.2","22.8","18.2","82.7","180.3","1"
"108.8","87.1","67.1","80.4","85.9","46.8","30.3","25.4","32.7","32.1","20","15.3","58","177.8","1"
"121.9","104.1","82.5","90.1","98.4","57.7","37.9","31.6","37.8","38.3","24.6","18.1","79.5","177.8","1"
"117.3","95.8","83.7","84.2","98.4","56.2","33.7","28","38","39.6","25.8","17.6","78.6","177.8","1"
"115","98.6","76.7","85.8","93.3","56","35.7","27.6","34.7","34.6","20.6","16","71.8","177.8","1"
"134.8","118.7","105.2","105","115.5","69.9","39.4","32.1","42.2","47.7","27","19.2","116.4","177.8","1"
"113.8","100.9","90.6","93.3","97.7","58","34.8","28","34.1","35.8","22.2","16.3","72.2","163.8","1"
"119.4","98.5","85.7","92.9","98.6","55.5","35.3","28.7","39.3","35.9","23","17.4","83.6","188","1"
"117.9","96.9","82.5","90.8","94.9","54.4","32.8","28.7","39.2","37","27.5","17.9","85.5","198.1","1"
"127.3","110.7","94.7","92","101.3","60.1","37.2","30.9","40.5","40","24.2","17.6","90.9","175.3","1"
"118.8","108","105.2","103.4","108.1","60.5","38","30.2","36.9","37.7","21.6","18.3","85.9","166.4","1"
"122.4","109","86","90.2","98","59.5","40","31.2","38.3","39","25.8","19.5","89.1","190.5","1"
"111.5","104.2","90.9","92.7","100.2","51.8","30.1","26.8","38.1","36.4","23.2","16.3","75","166.4","1"
"113.2","100.5","92.4","92.4","97","50.9","32.9","29","37.7","37.7","23.4","17","77.7","177.8","1"
"115.3","105.7","96.5","98.2","97.4","54.3","31.9","28.5","37.7","39.3","24.5","17.1","86.4","179.7","1"
"122.5","112.4","98.4","101.5","107.9","67.4","39.2","30.5","42.6","40.7","25.3","17.5","90.9","172.7","1"
"114.4","96.2","76.7","83.5","93.9","50.4","32.1","27.7","36.1","32.9","23.2","17","73.6","190.5","1"
"112.8","97.5","94.8","98.2","98.6","48.3","31.1","27","37.7","36.8","24.6","18.4","76.4","185.4","1"
"112.2","90.9","80.1","79.8","91.3","56.2","32.9","27.2","36.2","33","23","16.8","69.1","168.9","1"
"119.4","108.4","97.4","103.7","105.3","55.6","36.6","28.4","38.2","36.6","22.9","18.1","84.5","167.6","1"
"108.4","94.3","73.7","74.5","88.2","52.3","29.6","26.2","35.2","36.2","21.2","16.2","64.5","175.3","1"
"122.4","109.1","76.1","90.1","93.3","51.7","37","30.6","36.8","37.7","23.6","18.5","69.1","170.2","1"
"128.8","115","95.6","101.9","107.9","64.6","37.1","30","41.8","39.6","24.7","18.2","108.6","190.5","1"
"118","104.4","101","98.9","103.3","54.4","38.1","29.8","39.7","41.8","25","19.6","86.4","177.8","1"
"116.5","100.1","84.5","84.5","94.4","54.7","33.9","28.6","38.5","37.6","25","17.7","80.9","190.5","1"
"120.4","108.4","98","101.8","101.5","56.9","38.2","29.9","37.7","39.2","24.9","17.6","87.7","177.8","1"
"123.1","107.3","101.6","103.8","110","57.8","34.9","28.9","40.3","40","23.7","18.1","94.5","184.2","1"
"117.2","101.8","87.8","90.2","98.4","55.6","33.1","28.4","38.2","37.7","24.5","17.1","80.2","176.5","1"
"113","94.5","80","85","95","52","31.5","26.5","36.9","36.4","22.9","17","72","177.8","1"
"109.4","91.7","81.8","82.9","98.3","56.3","31","25.7","35","33","22","15.5","71.4","180.3","1"
"105.7","95.9","84.4","86.8","99","55","30.5","26.4","36.1","38.4","21.3","16.4","72.7","171.4","1"
"119.7","110.5","85","83.5","95.7","59","39.2","29.9","37.9","37.7","23.8","17.1","84.1","172.7","1"
"118","104","90","86","96","52.5","33.5","29.1","36","36.9","23","18","76.8","172.7","1"
"104.3","86.8","72.9","73.4","89.5","51","29.8","24.8","32.6","33.1","22.1","16.3","63.6","177.8","1"
"114.1","106.7","81","80.2","93.7","54.8","35.5","30.6","36.9","37.3","22.7","16.8","80.9","177.8","1"
"119","102.5","86.5","89","97","57","34","28.4","38","37","22.5","17.4","80.9","182.9","1"
"113.8","103","93.9","98.6","103.6","60.5","34.4","28.5","40.9","40.8","24.6","17.1","85.5","170.2","1"
"118","95","77","78","93","52","32.6","28.4","34.4","34.4","20","16.5","68.6","167.6","1"
"116","99","75","75","90","50.6","32","27.3","33.8","34","22","17","67.7","175.3","1"
"108.3","89.7","80.6","80.8","90","55.5","28.9","25","34.6","37.4","23","16.4","66.4","165.1","1"
"129.2","111.5","100.5","107.3","109.5","61.8","37.4","31.6","41","39.7","25.4","18.4","102.3","185.4","1"
"109.2","94.1","81.2","84","91.6","51.5","33","27","35.2","35.5","23.1","16.3","70.5","181.6","1"
"124.3","118.3","103.4","106.2","108.5","60.5","35.4","29.7","42.3","40.8","24.8","17.1","95.9","172.7","1"
"122.6","106.5","90.3","101.1","101.6","57.2","35.4","28.6","40.4","37.8","24.9","17.9","84.1","190.5","1"
"122.4","110.4","98","98","99.6","56.7","36.4","29.2","40.9","42.1","26.1","19.5","87.3","179.1","1"
"114.9","102.3","86.5","87.7","91.9","55","35","28.9","38.3","37.8","24","17.3","71.8","175.3","1"
"111.1","98.5","77.9","87.3","90.8","50.8","35","28.4","35.5","35","21","16.6","65.9","170.2","1"
"126","111.6","89.1","95.1","104.8","62.7","37.9","31.2","41.1","41.2","27.7","18.1","95.9","193","1"
"115.5","106.7","93.9","111.8","111.4","62.8","36.2","29.7","42.8","39.3","23.5","16.8","91.4","171.4","1"
"124.7","110.4","85.3","82.9","96.5","57","39","29.8","36.8","36","21.6","17.3","81.8","177.8","1"
